display_id,name,clean_name
C293,Bộ nồi cao cấp GUME GMPPS-2201,Bộ nồi cao cấp GUME GMPPS-2201
K442,"NỒI LUỘC GÀ INOX 304 CAO CẤP 5 ĐÁY KALPEN LERMAT L28, L30","NỒI LUỘC GÀ INOX 304 CAO CẤP 5 ĐÁY KALPEN LERMAT L28, L30"
M87,Bếp từ tròn Amey chính hãng 2000W (BH 2 năm)  (Tặng 1 ấm siêu tốc amey viền vàng),Bếp từ tròn Amey chính hãng 2000W (BH 2 năm)
M269,Bộ cốc thủy tinh thấp ArcadieT 160 ml  V4145,Bộ cốc thủy tinh thấp ArcadieT 160 ml V4145
M434,Combo 2 Bịch khăn giấy khô TONGLI 100% bột gỗ tự nhiên (TỔNG 16 gói),Combo 2 Bịch khăn giấy khô TONGLI 100% bột gỗ tự nhiên (TỔNG 16 gói)
K239,Hộp thơm phòng nước hoa cao cấp Premium Aroma ( Mua 1 tặng 1 ),Hộp thơm phòng nước hoa cao cấp Premium Aroma ( )
AC159,Quạt không cánh ion âm kiêm lọc không khí AMEY AM056,Quạt không cánh ion âm kiêm lọc không khí AMEY AM056
C600,Nồi ủ chân không Gume GM-2086,Nồi ủ chân không Gume GM-2086
M408,Nước tẩy trang JMsolution 850ml,Nước tẩy trang JMsolution 850ml
K389,"Chảo xào inox kailer công nghệ Nano nhiệt lạnh có vung; KL-8226, KL-8228","Chảo xào inox kailer công nghệ Nano nhiệt lạnh có vung; KL-8226, KL-8228"
C305,Chảo Tuyết Inox SEKA SK6030,Chảo Tuyết Inox SEKA SK6030
M49,"Máy sữa hạt trắng 1,5L AM0601","Máy sữa hạt trắng 1,5L AM0601"
M65,MÁY NƯỚNG BÁNH AMEY,MÁY NƯỚNG BÁNH AMEY
K195,Nước tẩy lồng giặt Mitsuei 550gr Nhật Bản - COMBO 3 CHAI,Nước tẩy lồng giặt Mitsuei 550gr Nhật Bản
K116,Chảo inox 316 liền khối 5-ply Premium Kaiyo - thành cao,Chảo inox 316 liền khối 5-ply Premium Kaiyo - thành cao
M89,Ấm siêu tốc Amey viền vàng,Ấm siêu tốc Amey viền vàng
M122,"NỒI CƠM lòng nồi INOX AMEY AM088  dung tích 1,8L","NỒI CƠM lòng nồi INOX AMEY AM088 dung tích 1,8L"
C326,Máy Sấy Tóc SEKA SK2200,Máy Sấy Tóc SEKA SK2200
T5,Máy hút chân không AM036,Máy hút chân không AM036
C540,NỒI CƠM TÁCH ĐƯỜNG SK SK1009 (Tặng máy sấy tóc SK2200),NỒI CƠM TÁCH ĐƯỜNG SK SK1009
E188,Máy Massage Cầm Tay JIDOSA JD-916,Máy Massage Cầm Tay JIDOSA JD-916
E183,"Ổ cắm điện đa năng JIDOSA JD-D313T có 3 lỗ cắm, 2 USB + 1 type C, tải 2500W","Ổ cắm điện đa năng JIDOSA JD-D313T có 3 lỗ cắm, 2 USB + 1 type C, tải 2500W"
E173,Thớt sợi gỗ cao cấp JIDOSA JD3630,Thớt sợi gỗ cao cấp JIDOSA JD3630
E175,Máy hút chân không JIDOSA JD3400,Máy hút chân không JIDOSA JD3400
4061,(4061) Camera Imou ( tặng kèm 1 thẻ nhớ 64gb ),Camera Imou
E177,Túi hút chân không thực phẩm JIDOSA JT100,Túi hút chân không thực phẩm JIDOSA JT100
E170,Bình ủ cháo giữ nhiệt inox 316 JIDOSA JD3870 850ml tặng kèm muỗng,Bình ủ cháo giữ nhiệt inox 316 JIDOSA JD3870 850ml tặng kèm muỗng
M627,Nước giặt xả Bali Diamond 1L,Nước giặt xả Bali Diamond 1L
K381,"Nồi cơm điện Kailer lòng nồi vân tổ ong, KL-1368V","Nồi cơm điện Kailer lòng nồi vân tổ ong, KL-1368V"
AC164,Chảo cạn Amey chống dính tự thân,Chảo cạn Amey chống dính tự thân
M113,NƯỚC GIẶT XẢ BALI DIAMOND 1L (mua 1 tặng 1),NƯỚC GIẶT XẢ BALI DIAMOND 1L ()
C609,MÁY SINH TỐ CẦM TAY TÍCH ĐIỆN NT889,MÁY SINH TỐ CẦM TAY TÍCH ĐIỆN NT889
B893,RỬA BÁT MUỐI BIỂN,RỬA BÁT MUỐI BIỂN
C441,Đũa chân không GG624 ( mua 1 tặng 1 ),Đũa chân không GG624 ( )
K133,"Dụng cụ xay tỏi ớt Kaiyo size S, dung tích 250ml","Dụng cụ xay tỏi ớt Kaiyo size S, dung tích 250ml"
V291,Quần short gió nam Cardino QSG031,Quần short gió nam Cardino QSG031
C69,Nắp bồn tắm,Nắp bồn tắm
M624,Nạo vỏ inox Hc603 + nạo sợi inox,Nạo vỏ inox Hc603 + nạo sợi inox
C535,"Chảo xào 2 quai Seka SKM2831, SKM2832","Chảo xào 2 quai Seka SKM2831, SKM2832"
M305,"Máy hút bụi Kailer đa năng, KL-3386","Máy hút bụi Kailer đa năng, KL-3386"
M90,BỘ NỒI AMEY PHỦ SỨ AMEY 9 MÓN,BỘ NỒI AMEY PHỦ SỨ AMEY 9 MÓN
C308,Chảo Lòng Nông SEKA SK6030,Chảo Lòng Nông SEKA SK6030
M18,Bộ nồi AMEY đức 9 đáy đen vân đá 2202,Bộ nồi AMEY đức 9 đáy đen vân đá 2202
M10,Nồi áp suất AMEY Đức 6L AM068,Nồi áp suất AMEY Đức 6L AM068
C315,Máy Làm Sữa Hạt SEKA SK-E500,Máy Làm Sữa Hạt SEKA SK-E500
K156,"Khay Silicon Kaiyo cho nồi chiên không dầu, lò vi sóng 18cm","Khay Silicon Kaiyo cho nồi chiên không dầu, lò vi sóng 18cm"
M39,Bàn là hơi nước Amey AM030,Bàn là hơi nước Amey AM030
K138,Rổ quả táo Kaiyo có nắp đậy ( Mua 1 tặng 1 ),Rổ quả táo Kaiyo có nắp đậy ( )
A534,Bếp từ đơn Kalpen ICK-1668,Bếp từ đơn Kalpen ICK-1668
M55,Chảo cạn Amey chống dính tự thân,Chảo cạn Amey chống dính tự thân
A1462,"Tẩy xoong nồi, cặn canxi đa năng Dr Natro","Tẩy xoong nồi, cặn canxi đa năng Dr Natro"
E165,Máy hút bụi cầm tay JIWON JW-2268PRO công suất lớn 2000W,Máy hút bụi cầm tay JIWON JW-2268PRO công suất lớn 2000W
C553,05 Thìa Titan,05 Thìa Titan
V287,Quần short gió nam Cardino QSG030,Quần short gió nam Cardino QSG030
V211,Quần short gió nam Cardino QSGN02,Quần short gió nam Cardino QSGN02
K124,"Nồi ủ chân không Kaiyo dung tích 4,5 lít ( Tặng máy xay tỏi ớt 250ml )","Nồi ủ chân không Kaiyo dung tích 4,5 lít"
K666,"Chảo Inox Nguyên Khối 3 Lớp Chống Dính Tự Thân Kailer KL-2208, KL-2408, KL-2608","Chảo Inox Nguyên Khối 3 Lớp Chống Dính Tự Thân Kailer KL-2208, KL-2408, KL-2608"
K523,Máy Vắt Cam Kalpen CJK-2681,Máy Vắt Cam Kalpen CJK-2681
M21,"Máy say thịt thuỷ tinh 2 cối AMEY AM001 -Tặng bộ phụ kiện đi kèm máy đánh ruốc,máy đánh trứng ,bóc tỏi","Máy say thịt thuỷ tinh 2 cối AMEY AM001 -Tặng bộ phụ kiện đi kèm máy đánh ruốc,máy đánh trứng ,bóc tỏi"
C688,Nồi ủ chân không Gume GM-2086 ( Tặng chăn lạnh - xám hoặc xanh ),Nồi ủ chân không Gume GM-2086
M304,Ấm siêu tốc inox điện tử Kailer KL-002,Ấm siêu tốc inox điện tử Kailer KL-002
K234,Bình đựng nước nắp bật 1L Nakaya -  - COMBO 3 CHAI,Bình đựng nước nắp bật 1L Nakaya
K122,"Quánh đúc inox 3 lớp đáy liền Tri-Ply Kaiyo, mini","Quánh đúc inox 3 lớp đáy liền Tri-Ply Kaiyo, mini"
K158,Ô gấp gọn siêu nhẹ có móc treo Kaiyo,Ô gấp gọn siêu nhẹ có móc treo Kaiyo
C624,Quánh 14cm kèm vung,Quánh 14cm kèm vung
AM15,Quạt tích điện cầm tay,Quạt tích điện cầm tay
K163,Thớt chặt gỗ Teak Kaiyo hình chữ nhật size L kích thước 400x280x38,Thớt chặt gỗ Teak Kaiyo hình chữ nhật size L kích thước 400x280x38
M416,Chảo chống dính Quantanium chính hãng,Chảo chống dính Quantanium chính hãng
M97,Nồi chiên không dầu Amey 16L,Nồi chiên không dầu Amey 16L
C610,Nồi cơm tách đường trắng có quai,Nồi cơm tách đường trắng có quai
K302,Cây lau nhà thông minh tách nước bẩn Kaiyo,Cây lau nhà thông minh tách nước bẩn Kaiyo
K301,Bông lau cây lau nhà tách nước kaiyo,Bông lau cây lau nhà tách nước kaiyo
E166,"Máy sấy tóc không cánh, Công nghệ ion âm, Công suất 1800W JW-2879","Máy sấy tóc không cánh, Công nghệ ion âm, Công suất 1800W JW-2879"
K688,Nồi cơm Kailer model KL - 2026 ( Màn cảm ứng),Nồi cơm Kailer model KL - 2026 ( Màn cảm ứng)
M110,Nồi chiên không dầu Hawonkoo AFH-045,Nồi chiên không dầu Hawonkoo AFH-045
K128,Cây lau nhà thông minh tách nước bẩn Kaiyo,Cây lau nhà thông minh tách nước bẩn Kaiyo
C337,Hút Bụi SK-09Plus,Hút Bụi SK-09Plus
C321,Bàn Là Hơi Nước SEKA SK546 Hồng,Bàn Là Hơi Nước SEKA SK546 Hồng
K108,Máy hút bụi giường đệm & vệ sinh giường nệm cầm tay Kaiyo,Máy hút bụi giường đệm & vệ sinh giường nệm cầm tay Kaiyo
K114,Máy tăm nước Extra Water tank 4 chế độ Kaiyo,Máy tăm nước Extra Water tank 4 chế độ Kaiyo
C612,Chảo nano tặng vung SEKA,Chảo nano tặng vung SEKA
K141,"Muôi vướt inox 304 cỡ lớn nguyên khối Kaiyo 16,5cm","Muôi vướt inox 304 cỡ lớn nguyên khối Kaiyo 16,5cm"
